asteroid_diameter_km,asteroid_mass_kg,composition_type,metal_concentration_pct,water_ice_content_pct,delta_v_km_s,distance_au,orbital_period_years,spin_rate_hours,estimated_market_value_usd,extraction_tech_readiness,regulatory_risk_score,mining_viability,viability_score_composite,roi_estimate_log
5.67,508731275365038.0,M-type,53.49,0.44,8.84,2.31,3.4,8.93,2021801051596.0,2,0.583,1,0.31121650793650796,0.004172267844026848
10.49,1639804946742142.0,S-type,12.01,5.69,10.61,4.1,8.39,11.72,716054282499.0,2,0.242,0,0.13576079365079366,0.0001497805721149903
4.02,47087398448301.0,C-type,5.38,17.64,8.65,2.43,3.64,20.47,20428716309.0,9,0.481,0,0.25086857142857144,4.282487344675058e-06
25.23,1.1608302936124198e+16,C-type,6.17,24.51,4.3,1.18,1.15,32.98,8994197082279.0,2,0.331,1,0.2590036507936508,0.013673559974103137
1.99,11188727117872.0,S-type,25.54,5.93,4.53,0.9,0.79,9.88,8830458792.0,3,0.699,1,0.2885690476190476,5.784177288967364e-05
38.91,4.255018467879882e+16,C-type,4.04,25.99,5.37,1.27,1.46,55.17,9830348848164.0,3,0.347,1,0.2507490476190476,0.006048695843259525
4.27,56288220926087.0,C-type,13.47,25.78,5.81,1.7,2.15,10.52,39462584346.0,2,0.283,1,0.2704422222222222,5.8320927973354596e-05
0.8,376914671825.0,C-type,11.42,30.21,10.5,3.93,7.73,23.64,304408644.0,3,0.477,0,0.2196433333333333,6.39583944531233e-08
5.23,103154700647656.0,C-type,4.72,20.42,8.14,2.82,4.71,57.12,55527866203.0,9,0.729,0,0.2638542857142857,1.0354724832194727e-05
1.98,11002616240929.0,S-type,16.21,2.52,5.08,1.53,1.87,13.62,12473599467.0,3,0.159,1,0.23316190476190474,3.0968497765610033e-05
12.29,2633939275329092.0,S-type,17.73,2.84,6.27,1.21,1.47,4.06,5441420803519.0,5,0.436,1,0.245424126984127,0.011043163284469998
2.05,6206564922365.0,C-type,0.97,33.06,5.22,1.2,1.38,13.1,644287541.0,7,0.09,1,0.3062663492063492,1.0425280720288165e-07
2.62,13050070763145.0,C-type,11.52,21.8,12.17,4.49,9.47,7.47,9351266243.0,1,0.094,0,0.14873396825396823,1.3248573291172178e-06
0.46,72273863518.0,C-type,3.5,36.83,5.45,1.14,1.43,9.78,17953359.0,1,0.284,1,0.2577439682539683,9.885689818017407e-09
2.6,12765563150613.0,C-type,7.21,29.78,8.27,2.61,4.26,59.62,7553765136.0,2,0.708,0,0.2222593650793651,2.205870649627711e-06
0.24,20732629315.0,S-type,21.08,5.85,8.17,2.54,3.95,4.58,22901216.0,1,0.261,0,0.1962668253968254,2.0430630526926333e-08
0.67,426505032309.0,S-type,21.55,3.58,5.96,1.63,2.11,15.49,696428186.0,1,0.237,1,0.22290825396825395,1.6064787948938363e-06
11.16,1973199890039175.2,S-type,23.18,4.04,6.63,1.11,1.22,6.04,1853694406851.0,4,0.178,1,0.25457015873015876,0.004622085760138259
11.51,1100956346447495.0,C-type,6.95,24.39,8.25,2.24,3.29,9.52,402050454820.0,3,0.384,0,0.21644619047619046,0.00012670242925614289
7.47,300876878101639.0,C-type,2.49,17.93,10.59,3.78,7.25,22.11,43419024330.0,1,0.468,0,0.12357539682539682,2.016782909980776e-06
1.4,2001585868343.0,C-type,3.81,27.65,4.66,1.05,1.09,15.71,494400272.0,3,0.233,0,0.2649519047619047,4.2313396771270146e-07
4.23,107571761038358.0,S-type,23.89,5.84,6.67,1.89,2.57,10.18,136421317176.0,1,0.271,1,0.22890539682539682,0.00025345090146913643
4.46,64205236646016.0,C-type,3.02,18.53,8.38,2.48,4.05,7.24,18104113837.0,3,0.263,0,0.18128904761904763,2.2372599471808807e-06
1.12,1004953261739.0,C-type,3.28,28.79,11.83,3.67,7.09,15.69,165288003.0,4,0.467,0,0.17493444444444445,8.295237115958318e-09
27.22,1.457827669612787e+16,C-type,10.5,31.07,3.29,0.83,0.69,47.76,4984464191448.0,8,0.431,1,0.37709888888888893,0.026078921140535685
12.84,1530818994760828.0,C-type,0.9,27.03,8.35,2.34,3.63,5.92,96885695488.0,3,0.059,0,0.19873761904761905,3.7443974407935946e-06
3.44,29358522825677.0,C-type,10.19,21.76,11.38,3.63,7.04,56.22,22142766572.0,3,0.26,0,0.17680190476190474,3.763047787231884e-06
4.63,71653566961675.0,C-type,2.62,21.54,6.74,2.61,4.09,31.8,9694909870.0,9,0.339,0,0.2788142857142857,1.548879871662617e-06
5.75,137721292636528.0,C-type,9.04,24.65,5.61,1.39,1.55,36.43,77868460546.0,9,0.425,1,0.32996714285714285,9.358065376247244e-05
0.39,41786096661.0,C-type,14.3,21.89,5.8,1.93,2.68,15.59,29261273.0,6,0.117,1,0.30667952380952385,4.2452731290366196e-08
3.33,26714736412586.0,C-type,7.31,26.32,9.01,2.79,4.67,31.09,14211614011.0,4,0.108,0,0.22393015873015873,3.3765349960431352e-06
1.98,5584029358171.0,C-type,7.39,29.49,8.41,2.89,4.9,5.44,2185828825.0,5,0.538,0,0.2534426984126984,5.871091742585013e-07
1.35,1766891662952.0,C-type,3.12,18.86,8.06,2.59,4.14,7.14,833243839.0,9,0.164,0,0.25391714285714284,1.1147106458396136e-07
3.2,23643609367436.0,C-type,5.03,15.36,6.62,2.01,2.83,22.48,12588929404.0,1,0.35,0,0.1827396825396825,4.800354010033994e-06
38.75,4.205465717123269e+16,C-type,2.52,32.09,7.25,1.76,2.38,15.44,6739675281547.0,7,0.589,0,0.2805563492063492,0.0011700389589299285
9.67,653333825159742.0,C-type,2.0,25.63,9.2,2.98,5.27,10.82,85465289900.0,7,0.261,0,0.23123920634920636,5.074110692285432e-06
2.26,8321225607453.0,C-type,12.16,33.57,7.75,2.26,3.35,1.65,14009437318.0,1,0.415,0,0.24974682539682538,8.70024280556816e-06
8.91,1003467784312415.0,S-type,9.89,2.68,7.08,1.96,2.99,8.6,504048238660.0,1,0.343,0,0.15756825396825397,0.0003359210508926143
24.03,1.0023959813104352e+16,C-type,6.01,22.81,6.25,1.34,1.75,4.76,3457005217381.0,9,0.118,0,0.3031842857142857,0.002270416357042996
13.59,1814808396167336.0,C-type,5.21,23.49,5.35,1.31,1.63,18.08,567186339495.0,7,0.238,1,0.29265920634920634,0.00044683471786888647
4.81,80618104631090.0,C-type,4.35,24.55,8.28,1.79,2.45,10.45,21567662389.0,4,0.131,0,0.21720873015873016,4.904857469139249e-06
2.06,6334947434145.0,C-type,0.59,21.47,6.6,2.42,3.96,7.37,299688243.0,9,0.367,0,0.27248428571428573,1.1868825302513475e-08
10.36,803243450971540.0,C-type,10.64,27.13,5.95,2.34,3.54,100.92,542617652310.0,5,0.482,1,0.2945055555555556,0.0004881453357757864
7.19,268164689090789.0,C-type,9.01,14.71,5.73,2.27,3.34,27.95,100277208923.0,3,0.354,0,0.2316461904761905,8.414954244516552e-05
13.12,6292660996082710.0,M-type,52.68,0.46,4.74,1.91,2.59,28.35,33245548638703.0,2,0.34,1,0.3666079365079365,0.23734101278252998
9.6,640130717662257.0,C-type,8.68,34.97,9.39,2.86,4.73,70.94,200141450055.0,9,0.393,0,0.30548714285714285,5.104194254139026e-05
15.79,5587620622803349.0,S-type,20.6,1.85,9.79,3.12,5.53,23.14,6997203685378.0,4,0.435,0,0.19253730158730165,0.003643658668519528
2.36,9470741027839.0,C-type,6.9,28.93,6.49,1.14,1.25,6.57,1922980497.0,7,0.48,0,0.2994534920634921,1.472042957108969e-06
21.78,1.4655012231823336e+16,S-type,18.99,1.24,4.82,1.44,1.74,5.99,8827764782075.0,1,0.525,1,0.22193396825396824,0.02914391715920637
5.68,132477456679487.0,C-type,7.7,26.82,12.61,4.43,9.33,26.36,44819020585.0,9,0.398,0,0.23111714285714288,3.996890186838275e-06
54.07,1.142327208211909e+17,C-type,7.3,28.69,6.53,1.74,2.3,2.35,38453752017791.0,9,0.409,0,0.3219842857142857,0.023742088894536002
1.96,5441081088721.0,C-type,4.46,27.14,6.69,1.76,2.51,11.45,2304753334.0,6,0.014,1,0.2703552380952381,8.321427088733966e-07
35.99,3.367542450658681e+16,C-type,12.07,30.77,6.22,1.3,1.54,2.14,21748490274923.0,6,0.264,0,0.3183995238095238,0.02907362775873866
5.68,132625946855939.0,C-type,8.61,28.9,8.03,2.89,5.01,13.18,93923949989.0,6,0.358,0,0.2730923809523809,3.223976053739072e-05
2.05,6233569379089.0,C-type,3.76,34.91,14.0,4.5,9.57,24.13,1324377841.0,5,0.131,0,0.17532555555555554,4.619351175460105e-08
2.51,11393749473040.0,C-type,2.21,35.57,6.93,1.3,1.32,15.23,2193691710.0,1,0.425,0,0.22766111111111112,4.3890797003893736e-07
3.05,20528283255871.0,C-type,12.87,32.61,8.43,2.98,4.96,25.8,11453226538.0,4,0.493,0,0.273325873015873,5.2115516322522135e-06
7.46,299481103728049.0,C-type,8.13,17.5,4.36,1.22,1.56,58.67,107766456909.0,1,0.653,0,0.23384539682539685,0.0002075884179676273
8.39,1646902412747378.0,M-type,64.59,0.47,8.46,2.77,4.56,10.86,3843327507091.0,5,0.368,0,0.39446841269841276,0.009157996036705144
2.25,31789107694985.0,M-type,52.22,1.51,5.65,1.23,1.31,115.14,119925501927.0,4,0.036,1,0.37714015873015877,0.0008793377014487995
4.35,117008024670533.0,S-type,10.63,2.91,5.69,0.81,0.76,14.44,92617348206.0,8,0.184,0,0.25885317460317464,0.00016799100173359
58.6,1.4539758095839133e+17,C-type,9.84,31.7,10.64,4.41,9.3,26.03,99473430924796.0,1,0.27,0,0.1935711111111111,0.01585529012339624
35.63,3.2669896225801504e+16,C-type,0.68,34.96,6.31,1.51,1.93,7.47,2920086304264.0,8,0.376,0,0.30634603174603176,0.0001986685028953735
7.57,1206174344138951.0,M-type,55.23,0.03,3.45,0.99,1.16,44.5,7889741807761.0,8,0.047,0,0.46061317460317464,0.16887304067904416
4.69,74579557178485.0,C-type,3.94,30.48,7.47,2.02,3.01,28.03,19432764130.0,1,0.208,0,0.2115968253968254,4.543407263467145e-06
5.18,386277682737150.0,M-type,76.96,0.02,7.76,2.43,3.71,39.53,2417741624133.0,9,0.555,1,0.4970428571428571,0.00896826627215885
9.36,2282686737446093.0,M-type,73.9,0.0,11.01,3.04,5.39,12.73,9310012561903.0,9,0.115,1,0.43831428571428577,0.013951013413754928
1.31,3215123648413.0,S-type,6.82,0.96,4.85,1.7,2.17,4.46,1323910372.0,6,0.346,0,0.2275409523809524,1.4216589032429223e-06
3.29,25751641716717.0,C-type,9.31,21.17,7.68,1.65,2.11,17.61,16457659019.0,1,0.096,0,0.2021468253968254,9.802735813009934e-06
0.61,160117277133.0,C-type,9.45,25.41,4.34,1.52,1.77,3.13,81415739.0,7,0.077,1,0.32980777777777776,1.6209146324301198e-07
7.24,537604033995127.0,S-type,15.14,2.49,5.53,1.93,2.51,9.31,660448958360.0,7,0.137,1,0.26680777777777775,0.0011153342465389721
9.74,668448462092969.0,C-type,10.09,35.65,6.43,2.55,4.08,14.19,412046461062.0,9,0.183,0,0.3554528571428571,0.0002832210663995937
2.51,11422472095522.0,C-type,10.06,14.53,7.57,2.16,3.08,81.6,4979477200.0,1,0.342,0,0.18679825396825397,2.7663191715855783e-06
29.63,1.87961297569774e+16,C-type,1.42,22.35,4.82,1.5,1.92,15.72,3141212537341.0,8,0.304,1,0.29276174603174604,0.0007676882073477393
1.03,3039482689975.0,M-type,53.45,0.41,5.42,1.89,2.56,13.62,8127378369.0,8,0.278,1,0.4264903174603175,5.1167083326061315e-05
0.77,333972824541.0,C-type,14.16,13.59,5.38,1.09,1.16,11.58,305391214.0,7,0.205,1,0.29833063492063494,7.148399225327001e-07
5.87,145923200977135.0,C-type,12.78,23.99,6.89,1.72,2.39,4.16,147730626135.0,6,0.16,0,0.2913280952380952,0.00014620502389327592
15.74,2820326127215511.0,C-type,3.63,29.96,6.27,1.62,1.91,13.05,581373147865.0,1,0.324,0,0.22593968253968252,0.00020487111593314787
33.81,2.7922653870817124e+16,C-type,9.41,26.77,8.94,3.05,5.25,13.23,20557656143349.0,8,0.221,0,0.2791246031746032,0.005958523285008051
2.58,48060487491315.0,M-type,50.43,0.08,8.86,2.02,2.88,5.61,179847474620.0,5,0.063,1,0.330944126984127,0.00038250389601334937
16.35,3159929247008542.0,C-type,9.25,31.64,6.6,1.73,2.3,4.71,2091668515562.0,4,0.067,0,0.2820787301587302,0.001625664857196027
4.28,56623462186942.0,C-type,4.68,33.1,7.47,1.83,2.59,8.29,12516884829.0,5,0.414,0,0.26686126984126984,3.709485387289779e-06
3.64,68611542028671.0,S-type,14.44,4.06,6.58,1.72,2.34,12.83,67444519873.0,5,0.104,0,0.23149555555555557,8.269423089620243e-05
12.94,1565921410996292.0,C-type,8.52,30.06,4.24,1.17,1.27,8.45,488503833581.0,3,0.264,1,0.29702190476190476,0.0010663126380610858
9.8,680900562144360.0,C-type,5.86,25.59,8.62,2.53,4.06,5.26,390127900772.0,4,0.25,0,0.22151158730158732,8.715583420312212e-05
0.68,223139565427.0,C-type,1.75,17.2,3.8,0.73,0.65,15.35,16797538.0,4,0.158,0,0.24875873015873018,1.176712540912711e-08
26.36,1.3234722863887356e+16,C-type,9.5,36.35,5.92,1.51,1.7,18.75,6248434372303.0,8,0.012,1,0.35136746031746036,0.006725374426747555
23.48,9352348719850262.0,C-type,4.96,30.89,5.96,1.33,1.52,13.42,2108025172045.0,5,0.062,1,0.28292269841269846,0.001262510064930919
2.12,13435404184770.0,S-type,25.84,2.24,4.1,1.52,1.9,7.76,24544389467.0,6,0.211,1,0.31817523809523807,0.00014970764536761044
7.21,531026418250018.0,S-type,13.86,6.19,6.4,2.51,4.02,19.61,844646405629.0,2,0.442,0,0.2048036507936508,0.0008139436633911888
8.11,756292133967923.0,S-type,9.72,2.33,7.38,1.74,2.19,10.46,631434372940.0,9,0.369,0,0.2404414285714286,0.00041118939604782817
6.13,326472137601376.0,S-type,19.17,3.96,6.03,1.84,2.38,4.71,919333299029.0,8,0.477,1,0.29130603174603176,0.0017051862043489497
2.32,8970625104090.0,C-type,4.47,32.18,7.27,2.44,3.79,27.91,1622565684.0,8,0.473,0,0.29945174603174607,3.9891692159210507e-07
2.0,5796242085168.0,C-type,2.89,28.28,7.89,2.36,3.82,16.16,762322572.0,5,0.276,0,0.23924126984126984,1.0532787328877637e-07
4.35,116503858886185.0,S-type,21.68,6.78,7.18,2.28,3.37,11.07,114443944861.0,5,0.042,0,0.26004412698412704,0.00014672276552889134
18.31,4433206362633720.0,C-type,8.74,31.26,7.13,1.86,2.65,3.47,2238956892067.0,3,0.334,0,0.2602161904761905,0.0013449928558409816
8.6,460362614958167.0,C-type,6.8,25.74,8.87,2.96,5.26,6.71,131932342174.0,2,0.299,0,0.1999279365079365,2.8794630299149458e-05
2.87,33639718128197.0,S-type,6.6,3.26,5.82,1.31,1.51,61.24,14227313797.0,9,0.273,0,0.25303714285714285,1.2000692032759145e-05
11.31,2055006746404810.0,S-type,11.31,4.23,5.76,1.73,2.21,3.64,1895308176888.0,6,0.334,0,0.2423109523809524,0.0023638581989530237
0.15,2288864311.0,C-type,6.57,25.36,6.27,1.54,1.96,9.96,597117.0,8,0.133,0,0.30167746031746034,3.9287645911957397e-10
17.79,4066794748662587.0,C-type,6.03,17.26,7.25,1.57,1.99,12.02,1018168167627.0,4,0.482,0,0.21677301587301587,0.0004543902639258953
0.56,123945207280.0,C-type,10.33,22.44,4.92,1.24,1.3,15.74,62291926.0,5,0.524,1,0.2939098412698413,1.1867352181179417e-07
2.9,17641719563279.0,C-type,7.31,24.99,9.28,2.68,4.32,3.68,6688439606.0,5,0.333,0,0.22719412698412697,1.5427589719882107e-06
1.17,1155163965230.0,C-type,8.58,34.97,7.73,2.39,3.74,14.0,749151755.0,4,0.178,0,0.27324587301587305,3.1732064922157647e-07
0.95,615205207066.0,C-type,9.58,21.96,7.15,1.71,2.33,3.16,248294100.0,2,0.155,0,0.2242793650793651,1.716921729895629e-07
18.05,4247264256730220.0,C-type,2.63,20.65,7.57,2.22,3.28,13.17,621472380578.0,6,0.351,0,0.2309938095238095,8.857490931873473e-05
2.56,12077323351202.0,C-type,2.58,27.9,8.48,2.76,4.57,7.23,2570857534.0,4,0.264,0,0.2173215873015873,2.4531161622314475e-07
6.79,226437255756886.0,C-type,10.77,18.53,10.52,3.59,6.86,6.09,169508380287.0,4,0.146,0,0.19282873015873017,3.5938083077636886e-05
4.24,54934404709577.0,C-type,1.3,18.51,6.31,1.05,1.05,23.76,9700472965.0,3,0.71,0,0.2039204761904762,1.5449817257913703e-06
7.94,362274022533269.0,C-type,2.74,32.43,6.75,1.76,2.3,10.09,77983242146.0,8,0.154,0,0.30071031746031746,1.6991492667292464e-05
4.91,168422863118530.0,S-type,23.22,3.85,9.72,3.12,5.44,17.8,238348700151.0,6,0.105,0,0.23223952380952384,0.000142172102073239
0.96,641646281009.0,C-type,7.56,33.62,11.63,4.5,9.47,18.27,326168285.0,9,0.241,0,0.2649571428571429,3.3146784092584966e-08
14.81,2348693431207737.0,C-type,5.42,20.19,8.84,2.13,3.38,33.65,695782843815.0,5,0.528,0,0.21151984126984127,0.00015416672888723568
2.48,10995985112600.0,C-type,6.34,26.26,8.93,2.65,4.28,4.63,3716150924.0,6,0.501,0,0.24323523809523812,8.094436931228139e-07
0.69,470586361752.0,S-type,21.77,1.47,4.38,0.65,0.66,25.41,356074424.0,9,0.521,1,0.3289185714285714,2.4488744070986874e-06
2.68,13927138354879.0,C-type,16.26,26.63,7.25,2.18,3.4,12.34,15716214368.0,4,0.398,1,0.2858030158730159,1.528839983467746e-05
27.14,1.444045847189432e+16,C-type,4.8,24.12,7.34,1.68,2.16,9.0,4462395363481.0,7,0.351,0,0.26448063492063495,0.0014823830280104064
12.43,1388323506003688.0,C-type,7.2,32.1,7.45,2.53,4.06,4.86,719005185045.0,6,0.383,0,0.2853380952380952,0.0002641921431740121
2.95,18539548960370.0,C-type,1.89,28.73,8.6,3.69,7.11,19.79,1150371347.0,6,0.133,0,0.23755952380952383,6.268016070723241e-08
2.95,18499175809317.0,C-type,4.46,11.88,6.77,1.85,2.35,5.83,4982684005.0,6,0.196,1,0.22343238095238094,1.7012793773579135e-06
3.05,20433336952768.0,C-type,10.24,26.74,7.81,1.81,2.28,18.43,8881951535.0,4,0.323,0,0.2540530158730159,5.306385722868895e-06
54.17,1.1484591698191304e+17,C-type,2.69,25.06,7.47,1.44,1.73,56.96,33252736093674.0,6,0.119,0,0.24589238095238097,0.006548260124701875
7.09,257243097846115.0,C-type,12.01,36.89,4.37,0.74,0.59,26.68,201137114966.0,7,0.627,1,0.37405920634920636,0.0007267169461474832
7.51,1179202509844587.0,M-type,53.77,1.12,6.02,1.49,2.01,37.08,4413139997757.0,2,0.224,1,0.35466222222222227,0.025956541665947887
15.43,2654666597085498.0,C-type,7.34,27.2,5.56,1.02,1.0,6.85,972697047118.0,9,0.063,1,0.3315314285714286,0.0011426798033396404
5.97,153652704219148.0,C-type,2.59,34.19,4.86,1.06,1.29,22.43,31030815758.0,7,0.182,1,0.32127920634920637,1.6517701411375566e-05
3.28,50267931374451.0,S-type,5.35,3.16,7.92,2.2,3.22,4.88,17795871996.0,3,0.37,0,0.1510704761904762,4.743202691747349e-06
3.54,32078770592404.0,C-type,12.11,23.65,5.15,1.12,1.37,10.11,20403467639.0,7,0.153,1,0.32359634920634917,4.394285455676128e-05
4.11,50264013410396.0,C-type,10.71,28.65,7.85,1.92,2.71,49.06,24732775482.0,5,0.158,0,0.2722026984126984,1.4720988192594239e-05
4.29,56886261630189.0,C-type,5.32,35.59,12.31,4.29,8.95,7.49,35495414219.0,9,0.211,0,0.25219285714285716,2.355654488901028e-06
10.73,892940788925434.0,C-type,4.78,18.44,6.95,1.57,1.91,29.64,401216597446.0,6,0.176,0,0.24182095238095236,0.00015447937704093502
4.77,302308768972230.0,M-type,63.8,0.59,4.92,1.06,1.15,27.45,1659258907631.0,7,0.346,1,0.46446206349206354,0.021007180820793857
10.8,1785445654589649.0,S-type,15.76,5.76,12.5,3.79,7.54,28.78,1128258681212.0,4,0.414,0,0.14619301587301586,0.00023755149769416525
4.07,48641361440087.0,C-type,12.53,21.55,5.94,1.23,1.34,4.42,42634127627.0,2,0.083,1,0.25213507936507934,6.789158633208993e-05
4.93,86326843719026.0,C-type,3.42,35.68,6.28,1.52,1.83,18.54,20200503591.0,4,0.354,0,0.2754501587301587,6.9513149301904905e-06
0.41,48876012317.0,C-type,3.18,29.81,7.99,2.88,4.85,10.75,14728467.0,9,0.505,0,0.28800714285714285,1.890860029033207e-09
13.46,1761345958167275.0,C-type,4.28,27.77,5.21,1.15,1.4,29.1,512619338588.0,3,0.099,1,0.2593347619047619,0.000375874813567074
6.79,226424697668987.0,C-type,2.05,29.56,6.03,1.46,1.85,3.24,34493831407.0,7,0.387,0,0.2885149206349206,7.90540000004864e-06
14.84,2363479818282366.0,C-type,8.18,31.54,4.47,1.13,1.34,16.35,1163608151024.0,4,0.478,1,0.3079273015873016,0.002233984804967023
0.14,1927627232.0,C-type,1.5,19.9,8.42,2.86,4.86,14.6,140377.0,3,0.455,0,0.17874761904761904,7.694417159148264e-12
54.93,1.197549502952341e+17,C-type,12.58,27.62,5.05,1.11,1.17,2.48,64579250412629.0,5,0.17,1,0.31659269841269844,0.14061043347125335
3.79,39351388275506.0,C-type,5.22,34.27,7.72,2.33,3.6,6.0,13679615542.0,2,0.237,0,0.23562650793650794,3.5980299945768174e-06
16.94,1.3546748849743094e+16,M-type,52.17,0.29,4.77,1.77,2.46,2.82,64994536746063.0,4,0.186,1,0.38585158730158736,0.4304819742436146
1.29,1539399766043.0,C-type,0.84,30.41,5.72,1.43,1.68,6.81,120270937.0,7,0.418,1,0.29065349206349206,1.2706959524885872e-08
9.35,590541536273162.0,C-type,8.49,24.04,6.12,1.75,2.45,18.9,276730186560.0,2,0.172,0,0.2408736507936508,0.0002280757759238975
1.27,1466322973236.0,C-type,6.93,27.62,6.03,1.52,1.92,14.24,359470540.0,6,0.478,0,0.29110380952380954,2.718700171399143e-07
2.12,6885967583331.0,C-type,7.44,19.57,6.65,1.31,1.26,13.95,4503256854.0,5,0.371,0,0.24902555555555553,3.2797721332594694e-06
44.56,6.393145608307265e+16,C-type,4.81,24.64,6.75,0.85,0.87,5.3,25932173180182.0,3,0.269,0,0.23006476190476188,0.014689634740461251
3.57,32739990213997.0,C-type,9.66,25.24,5.97,1.14,1.1,29.86,21218641571.0,5,0.337,1,0.2846298412698413,2.68736360952952e-05
5.82,279409205861162.0,S-type,10.19,0.32,5.79,2.01,2.94,12.0,224027924460.0,7,0.092,0,0.23678349206349206,0.0002262057266588705
12.73,1491142295163918.0,C-type,6.83,23.01,5.89,1.62,2.14,12.52,930331812513.0,3,0.181,1,0.2455404761904762,0.0006988354631120897
8.12,387419742995500.0,C-type,1.14,28.18,8.22,2.31,3.55,25.85,32527716722.0,8,0.06,0,0.26056031746031744,1.6580073122326091e-06
5.37,111783277489714.0,C-type,2.32,22.2,7.32,1.92,2.71,5.51,14108991918.0,7,0.266,0,0.2490863492063492,2.0920810310204653e-06
6.94,241994143310819.0,C-type,10.96,28.92,5.32,0.66,0.65,14.63,198898266623.0,4,0.369,1,0.29904444444444445,0.00046388407629428455
80.17,7.310339335435707e+17,S-type,15.14,1.43,7.3,2.2,3.21,17.09,942578196163100.0,5,0.146,1,0.21611984126984127,0.608052090878367
4.18,52858907780614.0,C-type,2.57,20.44,4.79,1.08,1.2,7.87,6588431631.0,4,0.208,1,0.24761587301587307,3.54797078176487e-06
5.7,134156963517213.0,C-type,4.37,32.88,8.42,1.84,2.6,20.53,30705450731.0,2,0.117,0,0.21805650793650797,6.66427551871396e-06
15.81,2856663862832986.0,C-type,11.02,24.9,4.92,0.93,1.07,17.84,2849067576608.0,9,0.108,1,0.34849428571428576,0.006697945018294424
16.89,3480555806194378.0,C-type,3.87,25.95,7.58,2.8,4.57,11.24,958021110468.0,1,0.299,0,0.19615539682539682,0.00016979588659052445
18.62,4667425975866420.0,C-type,14.04,32.7,9.59,2.55,4.12,10.96,4443653413439.0,8,0.107,0,0.3061488888888889,0.001909093058652678
9.65,648383741725564.0,C-type,3.26,31.22,4.8,1.65,2.02,18.52,97431778402.0,4,0.327,1,0.28257301587301586,5.202098663712738e-05
1.14,1062087413781.0,C-type,9.12,29.04,4.52,2.51,3.87,22.89,654188772.0,9,0.172,1,0.35902857142857136,8.319816688391685e-07
31.82,2.328133934225776e+16,C-type,5.6,16.12,6.12,1.18,1.31,12.81,5021852403623.0,3,0.498,0,0.21666476190476192,0.003438316082396243
1.13,1049391529962.0,C-type,4.44,29.61,6.67,1.38,1.63,29.85,157742393.0,7,0.261,0,0.2890820634920635,6.614587347040278e-08
6.44,193357651513154.0,C-type,6.64,22.3,8.94,2.76,4.7,20.63,91910314612.0,3,0.3,0,0.1990790476190476,2.0307901101606906e-05
1.81,4304499434410.0,C-type,1.89,28.59,2.91,0.61,0.44,2.91,955004181.0,7,0.21,1,0.3295363492063492,1.323899248409914e-06
4.15,51632734870375.0,C-type,4.23,34.91,6.3,1.68,2.16,3.96,12510982785.0,2,0.053,0,0.2538722222222222,4.975248994252648e-06
6.65,212427040987799.0,C-type,4.2,31.38,6.98,2.13,3.12,31.37,46873559589.0,3,0.225,0,0.24455904761904756,1.2909791834018823e-05
6.59,206838830092155.0,C-type,6.11,25.88,5.42,1.48,1.72,10.0,122887657986.0,8,0.284,1,0.31354031746031746,0.00010305684555062006
7.44,583377078271306.0,S-type,14.96,4.25,10.65,3.12,5.44,13.89,521732998374.0,7,0.28,0,0.19822492063492064,0.0001670118170100857
31.08,2.168583333005661e+16,C-type,7.47,27.65,9.04,3.54,6.78,30.31,9000608745545.0,3,0.673,0,0.21702047619047618,0.001810533478577505
7.72,332878447639743.0,C-type,9.7,33.33,7.71,2.2,3.2,12.12,295961149031.0,8,0.289,0,0.31753603174603173,0.00015090892823188624
3.34,27006836259281.0,C-type,5.34,30.08,6.35,1.08,1.24,12.55,7696108411.0,9,0.401,0,0.32088571428571433,4.900050819306793e-06
14.25,2091773859583798.0,C-type,6.17,15.72,8.44,2.53,4.09,6.08,616244815388.0,2,0.258,0,0.17349079365079365,0.00015119798772533975
18.68,4708608348394354.0,C-type,11.38,32.07,12.62,4.19,8.43,16.38,3723577207572.0,2,0.393,0,0.18366650793650796,0.0005125134439531343
1.03,783225821796.0,C-type,6.02,31.24,7.31,1.88,2.62,19.48,221987033.0,7,0.313,0,0.2911492063492064,8.683540563182495e-08
9.18,2154004552953496.8,M-type,65.57,0.65,6.86,1.71,2.3,7.67,8412324393483.0,8,0.348,1,0.45511888888888896,0.042342516868503356
10.4,811817684204246.0,C-type,9.06,25.13,5.78,1.21,1.37,5.83,274817204460.0,5,0.698,1,0.28461412698412697,0.000337171568864024
3.14,22283027804514.0,C-type,5.61,22.31,7.77,2.08,2.98,99.59,7780071991.0,2,0.259,0,0.20059222222222226,2.3472168441737195e-06
23.36,9205886944893140.0,C-type,12.87,30.8,6.09,1.74,2.2,11.31,6515135695228.0,5,0.179,0,0.3124355555555556,0.008217340245436838
3.74,37896312145026.0,C-type,10.22,28.37,3.12,0.71,0.73,7.05,28419894975.0,3,0.229,1,0.3147519047619048,0.00017447378352093633
5.21,102220183479737.0,C-type,3.93,27.69,8.87,2.46,3.84,21.44,32610651914.0,9,0.252,0,0.2720757142857143,4.7079047799791285e-06
3.64,134475920402987.0,M-type,75.99,0.24,6.23,1.03,0.96,11.7,729813806199.0,2,0.144,1,0.4379022222222222,0.00701410727566993
4.57,68795510406030.0,C-type,10.42,24.65,12.25,4.5,9.59,5.11,44213918869.0,9,0.219,0,0.24063,5.582010511072985e-06
